CloneID	Antibody	Fisher.Pval	Fisher.OR	Hyper.Pval	Fisher.Padj	Hyper.Padj
clonotype_1002	HBVgp1_tg_pol	1	0	1	1	1
clonotype_1003	HBVgp2_gcgg_pol	1	0	1	1	1
clonotype_1003	HBVgp3_cc_x	1	0	1	1	1
clonotype_1003	HBVgp3_gg_x	1	0	1	1	1
clonotype_1003	HBVgp2_ct_env	1	0	1	1	1
clonotype_1003	HBVgp1_gtcc_pol	1	0	1	1	1
clonotype_1003	HBVgp2_aagc_env	1	0	1	1	1
clonotype_1003	HBVgp4_ca_core	1	0	1	1	1
clonotype_1003	HBVgp4_ag_core	1	0	1	1	1
clonotype_1003	HBVgp2_ta_env	1	0	1	1	1
clonotype_1003	HBVgp1_ccag_pol	1	0	1	1	1
clonotype_1003	HBVgp1_aa_pol	1	0	1	1	1
clonotype_1003	HBVgp2_ac_env	1	0	1	1	1
clonotype_1003	HBVgp1_ccat_pol	1	0	1	1	1
clonotype_1003	HBVgp4_cc_core	1	0	1	1	1
clonotype_1003	HBVgp2_cg_env	1	0	1	1	1
clonotype_1003	HBVgp4_gt_core	1	0	1	1	1
clonotype_1003	HBVgp1_gttg_pol	1	0	1	1	1
clonotype_1003	HBVgp2_tt_env	1	0	1	1	1
clonotype_1003	HBVgp2_at_env	1	0	1	1	1
clonotype_1003	HBVgp2_gcac_env	1	0	1	1	1
clonotype_1003	HBVgp2_gcggg_env	1	0	1	1	1
clonotype_1003	HBVgp2_gtcg_env	1	0	1	1	1
clonotype_1003	HBVgp2_agag_env	1	0	1	1	1
clonotype_1003	HBVgp2_cagc_env	1	0	1	1	1
clonotype_1003	HBVgp1_gcgt_pol	1	0	1	1	1
clonotype_1003	HBVgp4_tt_core	1	0	1	1	1
clonotype_1003	HBVgp3_ag_x	1	0	1	1	1
clonotype_1003	HBVgp2_aatg_env	1	0	1	1	1
clonotype_1003	HBVgp2_agat_env	1	0	1	1	1
clonotype_1003	HBVgp2_gcca_env	1	0	1	1	1
clonotype_1003	HBVgp1_tg_pol	1	0	1	1	1
clonotype_1004	HBVgp2_gcgg_pol	1	0	1	1	1
clonotype_1004	HBVgp3_cc_x	1	0	1	1	1
clonotype_1004	HBVgp3_gg_x	1	0	1	1	1
clonotype_1004	HBVgp2_ct_env	1	0	1	1	1
clonotype_1004	HBVgp1_gtcc_pol	1	0	1	1	1
clonotype_1004	HBVgp2_aagc_env	1	0	1	1	1
clonotype_1004	HBVgp4_ca_core	1	0	1	1	1
clonotype_1004	HBVgp4_ag_core	1	0	1	1	1
clonotype_1004	HBVgp2_ta_env	1	0	1	1	1
clonotype_1004	HBVgp1_ccag_pol	1	0	1	1	1
clonotype_1004	HBVgp1_aa_pol	1	0	1	1	1
clonotype_1004	HBVgp2_ac_env	1	0	1	1	1
clonotype_1004	HBVgp1_ccat_pol	1	0	1	1	1
clonotype_1004	HBVgp4_cc_core	1	0	1	1	1
clonotype_1004	HBVgp2_cg_env	1	0	1	1	1
clonotype_1004	HBVgp4_gt_core	1	0	1	1	1
clonotype_1004	HBVgp1_gttg_pol	1	0	1	1	1
clonotype_1004	HBVgp2_tt_env	1	0	1	1	1
clonotype_1004	HBVgp2_at_env	1	0	1	1	1
clonotype_1004	HBVgp2_gcac_env	1	0	1	1	1
clonotype_1004	HBVgp2_gcggg_env	1	0	1	1	1
clonotype_1004	HBVgp2_gtcg_env	1	0	1	1	1
clonotype_1004	HBVgp2_agag_env	1	0	1	1	1
clonotype_1004	HBVgp2_cagc_env	1	0	1	1	1
clonotype_1004	HBVgp1_gcgt_pol	1	0	1	1	1
clonotype_1004	HBVgp4_tt_core	1	0	1	1	1
clonotype_1004	HBVgp3_ag_x	1	0	1	1	1
clonotype_1004	HBVgp2_aatg_env	1	0	1	1	1
clonotype_1004	HBVgp2_agat_env	1	0	1	1	1
clonotype_1004	HBVgp2_gcca_env	1	0	1	1	1
clonotype_1004	HBVgp1_tg_pol	1	0	1	1	1
clonotype_1005	HBVgp2_gcgg_pol	1	0	1	1	1
clonotype_1005	HBVgp3_cc_x	1	0	1	1	1
clonotype_1005	HBVgp3_gg_x	1	0	1	1	1
clonotype_1005	HBVgp2_ct_env	1	0	1	1	1
clonotype_1005	HBVgp1_gtcc_pol	1	0	1	1	1
clonotype_1005	HBVgp2_aagc_env	1	0	1	1	1
clonotype_1005	HBVgp4_ca_core	1	0	1	1	1
clonotype_1005	HBVgp4_ag_core	1	0	1	1	1
clonotype_1005	HBVgp2_ta_env	1	0	1	1	1
clonotype_1005	HBVgp1_ccag_pol	1	0	1	1	1
clonotype_1005	HBVgp1_aa_pol	1	0	1	1	1
clonotype_1005	HBVgp2_ac_env	0.03202377936293743	40.87603887205437	0.032023779362936655	1	1
clonotype_1005	HBVgp1_ccat_pol	1	0	1	1	1
clonotype_1005	HBVgp4_cc_core	1	0	1	1	1
clonotype_1005	HBVgp2_cg_env	1	0	1	1	1
clonotype_1005	HBVgp4_gt_core	1	0	1	1	1
clonotype_1005	HBVgp1_gttg_pol	1	0	1	1	1
clonotype_1005	HBVgp2_tt_env	1	0	1	1	1
clonotype_1005	HBVgp2_at_env	1	0	1	1	1
clonotype_1005	HBVgp2_gcac_env	1	0	1	1	1
clonotype_1005	HBVgp2_gcggg_env	1	0	1	1	1
clonotype_1005	HBVgp2_gtcg_env	1	0	1	1	1
clonotype_1005	HBVgp2_agag_env	1	0	1	1	1
clonotype_1005	HBVgp2_cagc_env	1	0	1	1	1
clonotype_1005	HBVgp1_gcgt_pol	1	0	1	1	1
clonotype_1005	HBVgp4_tt_core	1	0	1	1	1
clonotype_1005	HBVgp3_ag_x	1	0	1	1	1
clonotype_1005	HBVgp2_aatg_env	1	0	1	1	1
clonotype_1005	HBVgp2_agat_env	0.008052569436119206	166.36278353395892	0.008052569436119206	1	1
clonotype_1005	HBVgp2_gcca_env	1	0	1	1	1
clonotype_1005	HBVgp1_tg_pol	1	0	1	1	1
clonotype_1006	HBVgp2_gcgg_pol	1	0	1	1	1
clonotype_1006	HBVgp3_cc_x	1	0	1	1	1
clonotype_1006	HBVgp3_gg_x	1	0	1	1	1
clonotype_1006	HBVgp2_ct_env	1	0	1	1	1
clonotype_1006	HBVgp1_gtcc_pol	1	0	1	1	1
clonotype_1006	HBVgp2_aagc_env	1	0	1	1	1
clonotype_1006	HBVgp4_ca_core	1	0	1	1	1
clonotype_1006	HBVgp4_ag_core	1	0	1	1	1
clonotype_1006	HBVgp2_ta_env	1	0	1	1	1
clonotype_1006	HBVgp1_ccag_pol	1	0	1	1	1
clonotype_1006	HBVgp1_aa_pol	1	0	1	1	1
clonotype_1006	HBVgp2_ac_env	1	0	1	1	1
clonotype_1006	HBVgp1_ccat_pol	1	0	1	1	1
clonotype_1006	HBVgp4_cc_core	1	0	1	1	1
clonotype_1006	HBVgp2_cg_env	1	0	1	1	1
clonotype_1006	HBVgp4_gt_core	1	0	1	1	1
clonotype_1006	HBVgp1_gttg_pol	1	0	1	1	1
clonotype_1006	HBVgp2_tt_env	1	0	1	1	1
clonotype_1006	HBVgp2_at_env	1	0	1	1	1
clonotype_1006	HBVgp2_gcac_env	0.04061294569689855	32.061593278904404	0.04061294569689822	1	1
clonotype_1006	HBVgp2_gcggg_env	1	0	1	1	1
clonotype_1006	HBVgp2_gtcg_env	1	0	1	1	1
clonotype_1006	HBVgp2_agag_env	1	0	1	1	1
clonotype_1006	HBVgp2_cagc_env	1	0	1	1	1
clonotype_1006	HBVgp1_gcgt_pol	1	0	1	1	1
clonotype_1006	HBVgp4_tt_core	0.02760218139861481	47.58139056726564	0.027602181398614922	1	1
clonotype_1006	HBVgp3_ag_x	1	0	1	1	1
clonotype_1006	HBVgp2_aatg_env	1	0	1	1	1
clonotype_1006	HBVgp2_agat_env	1	0	1	1	1
clonotype_1006	HBVgp2_gcca_env	1	0	1	1	1
clonotype_1006	HBVgp1_tg_pol	1	0	1	1	1
clonotype_1007	HBVgp2_gcgg_pol	1	0	1	1	1
clonotype_1007	HBVgp3_cc_x	1	0	1	1	1
clonotype_1007	HBVgp3_gg_x	1	0	1	1	1
clonotype_1007	HBVgp2_ct_env	1	0	1	1	1
clonotype_1007	HBVgp1_gtcc_pol	1	0	1	1	1
clonotype_1007	HBVgp2_aagc_env	1	0	1	1	1
clonotype_1007	HBVgp4_ca_core	1	0	1	1	1
clonotype_1007	HBVgp4_ag_core	0.03800037965983305	34.32516583918379	0.03800037965983305	1	1
clonotype_1007	HBVgp2_ta_env	1	0	1	1	1
clonotype_1007	HBVgp1_ccag_pol	1	0	1	1	1
clonotype_1007	HBVgp1_aa_pol	0.0359064879936567	36.37806481096873	0.03590648799365648	1	1
clonotype_1007	HBVgp2_ac_env	0.03202377936293743	40.87603887205437	0.032023779362936655	1	1
clonotype_1007	HBVgp1_ccat_pol	1	0	1	1	1
clonotype_1007	HBVgp4_cc_core	1	0	1	1	1
clonotype_1007	HBVgp2_cg_env	1	0	1	1	1
clonotype_1007	HBVgp4_gt_core	1	0	1	1	1
clonotype_1007	HBVgp1_gttg_pol	1	0	1	1	1
clonotype_1007	HBVgp2_tt_env	1	0	1	1	1
clonotype_1007	HBVgp2_at_env	1	0	1	1	1
clonotype_1007	HBVgp2_gcac_env	1	0	1	1	1
clonotype_1007	HBVgp2_gcggg_env	1	0	1	1	1
clonotype_1007	HBVgp2_gtcg_env	1	0	1	1	1
clonotype_1007	HBVgp2_agag_env	1	0	1	1	1
clonotype_1007	HBVgp2_cagc_env	1	0	1	1	1
clonotype_1007	HBVgp1_gcgt_pol	1	0	1	1	1
clonotype_1007	HBVgp4_tt_core	1	0	1	1	1
clonotype_1007	HBVgp3_ag_x	1	0	1	1	1
clonotype_1007	HBVgp2_aatg_env	1	0	1	1	1
clonotype_1007	HBVgp2_agat_env	1	0	1	1	1
clonotype_1007	HBVgp2_gcca_env	1	0	1	1	1
clonotype_1007	HBVgp1_tg_pol	1	0	1	1	1
clonotype_1008	HBVgp2_gcgg_pol	1	0	1	1	1
clonotype_1008	HBVgp3_cc_x	1	0	1	1	1
clonotype_1008	HBVgp3_gg_x	1	0	1	1	1
clonotype_1008	HBVgp2_ct_env	1	0	1	1	1
clonotype_1008	HBVgp1_gtcc_pol	1	0	1	1	1
clonotype_1008	HBVgp2_aagc_env	1	0	1	1	1
clonotype_1008	HBVgp4_ca_core	1	0	1	1	1
clonotype_1008	HBVgp4_ag_core	1	0	1	1	1
clonotype_1008	HBVgp2_ta_env	1	0	1	1	1
